t   links   init                                
c   fr  to  len mode    type    lanes   vdfunc  ul1 ul2 ul3
a   101112  101134  0.1 a   443 2   52  245 1740    443
a   101113  101032  0.14    a   343 1   52  246 870 343
a   101113  101112  0.13    a   343 2   52  247 1740    343
a   101113  101114  0.09    a   343 2   52  248 1740    343
a   101114  101033  0.13    a   443 2   51  249 2000    443
a   101114  101113  0.09    a   343 2   52  250 1740    343
a   101114  101122  0.25    a   343 2   51  251 2000    343
a   101115  101112  0.07    a   343 2   52  252 1740    343
a   101115  101114  0.13    a   443 2   51  253 2000    443
a   101122  101042  0.3 a   143 2   50  254 2300    143
a   101122  101114  0.25    a   343 2   51  255 2000    343
a   101122  101136  0.3 a   143 2   50  256 2300    143
a   101122  101585  0.09    a   343 1   52  257 870 343
a   101132  101206  0.15    a   343 2   52  258 1740    343
a   101132  101582  0.43    a   343 1   52  259 870 343
a   101133  101134  0.11    a   343 1   52  260 870 343
a   101133  101206  0.22    a   343 1   52  261 870 343
a   101134  101133  0.11    a   343 1   52  262 870 343
a   101134  101135  0.11    a   343 2   52  263 1740    343
a   101134  101265  0.23    a   443 1   52  264 870 443
a   101135  101137  0.08    a   343 2   52  265 1740    343
a   101135  101207  0.76    a   343 1   51  266 1000    343
a   101136  101122  0.3 a   143 2   50  267 2300    143
a   101136  101216  1.07    a   143 1   70  268 2000    143
a   101137  101115  0.06    a   343 2   52  269 1740    343
a   101162  101095  0.17    a   343 1   52  270 870 343
a   101162  101174  0.16    a   343 1   52  271 870 343
a   101163  101062  0.48    a   343 2   50  272 2300    343
a   101163  101106  0.17    a   343 1   52  273 870 343
a   101163  101185  0.24    a   343 1   50  274 1150    343
a   101164  101105  0.12    a   343 1   52  275 870 343
a   101164  101182  0.32    a   343 1   52  276 870 343
a   101172  101173  0.18    a   443 2   52  277 1740    443
a   101172  101177  0.32    a   343 1   52  278 870 343
a   101173  101274  0.12    a   343 2   52  279 1740    343
a   101173  101353  0.3 a   443 2   52  280 1740    443
a   101173  101355  0.07    a   343 1   52  281 870 343
a   101174  101177  0.25    a   343 1   52  282 870 343
a   101174  500008  0.2 a   900 5   13  283 10000   900
a   101176  101182  0.18    a   343 2   52  284 1740    343
a   101176  101187  0.21    a   343 2   52  285 1740    343
a   101176  101354  0.04    a   343 1   52  286 870 343
a   101177  101172  0.32    a   343 1   52  287 870 343
a   101182  101164  0.32    a   343 1   52  288 870 343
a   101182  101183  0.16    a   343 1   52  289 870 343
