t links init
c   fr       to      len  mode  type lanes vdfunc ul1 ul2 ul3 
a 625104 625125   0.89 cb           232 1.0  65       0       0       0
a 625122 625123   1.07 cb           341 1.0  65       0       0       0
a 625122 625126   0.65 cb           341 1.0  65       0       0       0
a 625122 625138   1.21 cb           341 1.0  68       0       0       0
a 625123 712509   2.50 cg           900 1.0  95       0       0       0
a 625123 712512   1.20 cg           900 1.0  95       0       0       0
a 625123 625092   2.88 cb           341 1.0  68       0       0       0
a 625123 625122   1.07 cb           341 1.0  65       0       0       0
a 625125 625104   0.89 cb           232 1.0  65       0       0       0
a 625125 625135   0.91 cb           232 1.0  65       0       0       0
a 625126 625103   0.82 cb           341 1.0  68       0       0       0
a 625126 625122   0.65 cb           341 1.0  65       0       0       0
a 625132 625135   2.07 cb           231 1.0  68       0       0       0
a 625132 625136   1.11 cb           231 1.0  65       0       0       0
a 625132 625137   0.68 cb           341 1.0  65       0       0       0
a 625134 625029   1.30 cb           231 1.0  68       0       0       0
a 625134 625136   2.61 cb           231 1.0  68       0       0       0
a 625135 625125   0.91 cb           232 1.0  65       0       0       0
a 625135 625132   2.07 cb           231 1.0  68       0       0       0
a 625136 712513   0.70 cg           900 1.0  95       0       0       0
a 625136 625132   1.11 cb           231 1.0  65       0       0       0
a 625136 625134   2.61 cb           231 1.0  68       0       0       0
a 625137 625132   0.68 cb           341 1.0  65       0       0       0
a 625137 625138   1.97 cb           341 1.0  68       0       0       0
a 625138 625122   1.21 cb           341 1.0  68       0       0       0
a 625138 625137   1.97 cb           341 1.0  68       0       0       0
a 626012 712601   0.20 cg           900 1.0  95       0       0       0
a 626012 712602   0.75 cg           900 1.0  95       0       0       0
a 626012 626026   0.22 cb           442 1.0  67       0       0       0
a 626012 626028   0.59 cb           442 1.0  65       0       0       0
a 626012 626029   0.25 cb           442 1.0  65       0       0       0
a 626019 626026   0.44 cb           342 1.0  65       0       0       0
a 626019 626032   0.72 cb           341 1.0  65       0       0       0
a 626022 626034   0.55 cb           442 1.0  65       0       0       0
a 626022 626049   0.46 cb           442 1.0  65       0       0       0
a 626023 603383   0.80 cb           442 1.0  65       0       0       0
a 626023 626028   1.00 cb           442 1.0  65       0       0       0
a 626024 603382   1.09 cb           122 2.0  73       0       0       0
a 626024 626025   0.43 cb           232 2.0  68       0       0       0
a 626024 626026   0.38 cb           342 2.0  68       0       0       0
a 626024 626027   0.25 cb           122 3.0  71       0       0       0
a 626025 603396   0.55 cb           232 2.0  68       0       0       0
a 626025 626024   0.43 cb           232 2.0  68       0       0       0
a 626026 626012   0.22 cb           442 1.0  67       0       0       0
a 626026 626019   0.44 cb           342 1.0  65       0       0       0
a 626026 626024   0.38 cb           342 2.0  68       0       0       0
a 626026 626034   1.35 cb           442 1.0  65       0       0       0
a 626027 626024   0.25 cb           122 3.0  71       0       0       0
a 626027 626055   1.15 cb           122 3.0  71       0       0       0
a 626028 626012   0.59 cb           442 1.0  65       0       0       0
a 626028 626023   1.00 cb           442 1.0  65       0       0       0
a 626029 626012   0.25 cb           442 1.0  65       0       0       0
a 626029 626047   0.55 cb           442 1.0  65       0       0       0
a 626032 712603   0.60 c            900 1.0  95       0       0       0
a 626032 626019   0.72 cb           341 1.0  65       0       0       0
a 626032 626035   0.32 cb           342 1.0  65       0       0       0
a 626032 626053   0.67 cb           341 1.0  68       0       0       0
a 626032 626055   0.33 cb           341 2.0  65       0       0       0
a 626033 712603   0.30 cg           900 1.0  95       0       0       0
a 626033 712604   0.50 c            900 1.0  95       0       0       0
a 626033 626034   0.53 cb           442 1.0  65       0       0       0
a 626033 626036   0.31 cb           342 1.0  65       0       0       0
a 626034 626022   0.55 cb           442 1.0  65       0       0       0
a 626034 626026   1.35 cb           442 1.0  65       0       0       0
a 626034 626033   0.53 cb           442 1.0  65       0       0       0
a 626035 626032   0.32 cb           342 1.0  65       0       0       0
a 626035 626036   0.31 cb           342 1.0  65       0       0       0
a 626036 626033   0.31 cb           342 1.0  65       0       0       0
a 626036 626035   0.31 cb           342 1.0  65       0       0       0
a 626047 626029   0.55 cb           442 1.0  65       0       0       0
a 626047 626048   0.42 cb           442 1.0  65       0       0       0
a 626048 626047   0.42 cb           442 1.0  65       0       0       0
a 626048 626049   0.38 cb           442 1.0  67       0       0       0
a 626049 626022   0.46 cb           442 1.0  65       0       0       0
a 626049 626048   0.38 cb           442 1.0  67       0       0       0
a 626052 712605   0.65 cg           900 1.0  95       0       0       0
a 626052 626053   0.47 cb           342 1.0  68       0       0       0
a 626052 626059   1.06 cb           342 1.0  68       0       0       0
a 626053 626032   0.67 cb           341 1.0  68       0       0       0
a 626053 626052   0.47 cb           342 1.0  68       0       0       0
a 626054 626056   0.40 cb           342 2.0  68       0       0       0
a 626054 626057   1.00 cb           122 3.0  71       0       0       0
a 626054 626067   0.37 cb           341 1.0  68       0       0       0
a 626054 636103   2.90 cb           122 3.0  71       0       0       0
a 626055 626027   1.15 cb           122 3.0  71       0       0       0
a 626055 626032   0.33 cb           341 2.0  65       0       0       0
a 626055 626057   0.90 cb           122 3.0  71       0       0       0
a 626056 626054   0.40 cb           342 2.0  68       0       0       0
a 626056 626058   0.37 cb           342 1.0  68       0       0       0
a 626056 626059   0.13 cb           342 1.0  68       0       0       0
a 626057 626054   1.00 cb           122 3.0  71       0       0       0
a 626057 626055   0.90 cb           122 3.0  71       0       0       0
a 626058 626056   0.37 cb           342 1.0  68       0       0       0
a 626058 636136   0.37 cb           342 1.0  68       0       0       0
a 626059 626052   1.06 cb           342 1.0  68       0       0       0
a 626059 626056   0.13 cb           342 1.0  68       0       0       0
a 626062 712606   0.50 cg           900 1.0  95       0       0       0
a 626062 603195   0.81 cb           342 1.0  66       0       0       0
a 626062 626064   0.56 cb           342 1.0  65       0       0       0
a 626062 626072   2.83 cb           441 1.0  65       0       0       0
a 626064 710340   1.27 cg           900 1.0  95       0       0       0
a 626064 626062   0.56 cb           342 1.0  65       0       0       0
a 626064 626065   0.95 cb           341 1.0  68       0       0       0
a 626065 626064   0.95 cb           341 1.0  68       0       0       0
a 626065 626128   1.69 cb           341 1.0  68       0       0       0
a 626066 626074   0.53 cb           231 1.0  70       0       0       0
a 626066 626079   0.58 cb           231 1.0  68       0       0       0
a 626067 712640   0.73 c            900 1.0  95       0       0       0
a 626067 626054   0.37 cb           341 1.0  68       0       0       0
a 626067 626068   0.70 cb           341 1.0  68       0       0       0
a 626068 626067   0.70 cb           341 1.0  68       0       0       0
a 626068 626078   1.05 cb           341 1.0  68       0       0       0
a 626072 712607   0.50 cg           900 1.0  95       0       0       0
a 626072 626062   2.83 cb           441 1.0  65       0       0       0
a 626072 626075   2.19 cb           441 1.0  65       0       0       0
a 626074 626066   0.53 cb           231 1.0  70       0       0       0
a 626074 636174   2.30 cb           231 1.0  70       0       0       0
a 626075 626072   2.19 cb           441 1.0  65       0       0       0
a 626077 626078   1.86 cb           341 1.0  68       0       0       0
a 626077 626153   0.22 cb           341 1.0  68       0       0       0
a 626078 626068   1.05 cb           341 1.0  68       0       0       0
a 626078 626077   1.86 cb           341 1.0  68       0       0       0
a 626079 712639   1.22 cg           900 1.0  95       0       0       0
a 626079 626066   0.58 cb           231 1.0  68       0       0       0
a 626079 626153   0.99 cb           231 1.0  68       0       0       0
a 626079 626159   1.07 cb           231 1.0  68       0       0       0
a 626079 626163   1.40 cb           231 1.0  70       0       0       0
a 626082 626083   0.40 cb           342 1.0  66       0       0       0
a 626082 626096   0.45 cb           342 1.0  66       0       0       0
a 626083 712608   0.10 c            900 1.0  95       0       0       0
a 626083 626082   0.40 cb           342 1.0  66       0       0       0
a 626083 626084   0.63 cb           342 1.0  66       0       0       0
a 626084 712611   0.30 cg           900 1.0  95       0       0       0
a 626084 626083   0.63 cb           342 1.0  66       0       0       0
a 626084 626085   0.35 cb           231 1.0  66       0       0       0
a 626084 626094   0.16 cb           232 1.0  67       0       0       0
a 626085 626084   0.35 cb           231 1.0  66       0       0       0
a 626085 626124   0.39 cb           232 2.0  68       0       0       0
a 626085 626145   0.85 cb           232 2.0  69       0       0       0
a 626089 626143   0.19 cb           342 2.0  65       0       0       0
a 626089 626168   0.11 cb           342 1.0  65       0       0       0
a 626092 626093   0.62 cb           232 1.0  65       0       0       0
a 626092 626099   0.38 cb           232 1.0  65       0       0       0
a 626092 626103   0.56 cb           342 1.0  65       0       0       0
a 626093 712635   0.55 cg           900 1.0  95       0       0       0
a 626093 626092   0.62 cb           232 1.0  65       0       0       0
a 626093 626094   0.70 cb           232 1.0  67       0       0       0
a 626093 626102   0.92 cb           232 1.0  65       0       0       0
a 626094 626084   0.16 cb           232 1.0  67       0       0       0
a 626094 626093   0.70 cb           232 1.0  67       0       0       0
a 626096 626082   0.45 cb           342 1.0  66       0       0       0
a 626096 626102   0.46 cb           342 1.0  65       0       0       0
a 626096 626143   0.35 cb           442 2.0  65       0       0       0
a 626097 626098   1.16 cb           231 1.0  68       0       0       0
a 626097 626099   0.57 cb           232 1.0  65       0       0       0
a 626098 626097   1.16 cb           231 1.0  68       0       0       0
a 626098 626155   0.94 cb           231 1.0  68       0       0       0
a 626099 626092   0.38 cb           232 1.0  65       0       0       0
a 626099 626097   0.57 cb           232 1.0  65       0       0       0
a 626102 626093   0.92 cb           232 1.0  65       0       0       0
a 626102 626096   0.46 cb           342 1.0  65       0       0       0
a 626102 626103   0.60 cb           342 1.0  65       0       0       0
a 626103 712609   0.50 c            900 1.0  95       0       0       0
a 626103 712610   0.30 c            900 1.0  95       0       0       0
a 626103 626092   0.56 cb           342 1.0  65       0       0       0
a 626103 626102   0.60 cb           342 1.0  65       0       0       0
a 626122 712612   0.30 cg           900 1.0  95       0       0       0
a 626122 626123   0.40 cb           342 1.0  67       0       0       0
a 626122 626125   0.70 cb           342 1.0  65       0       0       0
a 626122 626135   0.27 cb           342 1.0  66       0       0       0
a 626123 626122   0.40 cb           342 1.0  67       0       0       0
a 626123 626125   0.65 cb           342 1.0  65       0       0       0
a 626123 626129   0.28 cb           442 1.0  67       0       0       0
a 626124 626085   0.39 cb           232 2.0  68       0       0       0
a 626124 626125   0.83 cb           232 2.0  68       0       0       0
a 626124 626129   0.29 cb           442 1.0  67       0       0       0
a 626125 712632   0.70 c            900 1.0  95       0       0       0
a 626125 603214   0.75 cb           232 2.0  68       0       0       0
a 626125 626122   0.70 cb           342 1.0  65       0       0       0
a 626125 626123   0.65 cb           342 1.0  65       0       0       0
a 626125 626124   0.83 cb           232 2.0  68       0       0       0
a 626125 626126   1.52 cb           342 1.0  65       0       0       0
a 626126 712632   1.00 c            900 1.0  95       0       0       0
a 626126 626125   1.52 cb           342 1.0  65       0       0       0
a 626126 626128   0.70 cb           342 1.0  68       0       0       0
a 626128 626065   1.69 cb           341 1.0  68       0       0       0
a 626128 626126   0.70 cb           342 1.0  68       0       0       0
a 626129 626123   0.28 cb           442 1.0  67       0       0       0
a 626129 626124   0.29 cb           442 1.0  67       0       0       0
a 626132 712613   0.40 cg           900 1.0  95       0       0       0
a 626132 626134   0.72 cb           342 1.0  66       0       0       0
a 626132 626136   0.53 cb           442 1.0  65       0       0       0
a 626132 626138   0.78 cb           342 1.0  65       0       0       0
a 626133 626136   0.67 cb           442 1.0  65       0       0       0
a 626133 626139   0.41 cb           342 1.0  65       0       0       0
a 626133 626149   0.13 cb           442 1.0  65       0       0       0
a 626133 626164   1.47 cb           232 1.0  65       0       0       0
a 626134 712631   0.40 cg           900 1.0  95       0       0       0
a 626134 626132   0.72 cb           342 1.0  66       0       0       0
a 626134 626135   0.62 cb           342 1.0  66       0       0       0
a 626135 626122   0.27 cb           342 1.0  66       0       0       0
a 626135 626134   0.62 cb           342 1.0  66       0       0       0
a 626136 712630   0.50 c            900 1.0  95       0       0       0
a 626136 626132   0.53 cb           442 1.0  65       0       0       0
a 626136 626133   0.67 cb           442 1.0  65       0       0       0
a 626138 712630   0.50 cg           900 1.0  95       0       0       0
a 626138 626132   0.78 cb           342 1.0  65       0       0       0
a 626138 626233   1.46 cb           342 1.0  65       0       0       0
a 626139 626133   0.41 cb           342 1.0  65       0       0       0
a 626139 626204   1.75 cb           342 1.0  65       0       0       0
a 626142 626169   0.27 cb           232 2.0  68       0       0       0
a 626142 626195   0.97 cb           232 2.0  68       0       0       0
a 626142 626199   0.63 cb           232 1.0  65       0       0       0
a 626143 712616   0.30 c            900 1.0  95       0       0       0
a 626143 626089   0.19 cb           342 2.0  65       0       0       0
a 626143 626096   0.35 cb           442 2.0  65       0       0       0
a 626143 626167   0.14 cb           342 1.0  65       0       0       0
a 626145 712616   0.30 c            900 1.0  95       0       0       0
a 626145 626085   0.85 cb           232 2.0  69       0       0       0
a 626145 626146   0.14 cb           232 2.0  68       0       0       0
a 626146 626145   0.14 cb           232 2.0  68       0       0       0
a 626146 626164   0.25 cb           342 1.0  65       0       0       0
a 626146 626165   0.13 cb           342 1.0  65       0       0       0
a 626146 626168   0.40 cb           232 2.0  68       0       0       0
a 626148 712633   0.59 cg           900 1.0  95       0       0       0
a 626148 626164   0.44 cb           442 1.0  65       0       0       0
a 626148 626166   1.10 cb           442 1.0  65       0       0       0
a 626149 626133   0.13 cb           442 1.0  65       0       0       0
a 626149 626166   0.37 cb           442 1.0  65       0       0       0
a 626152 712607   1.80 c            900 1.0  95       0       0       0
a 626152 626156   1.03 cb           231 1.0  68       0       0       0
a 626152 626157   0.71 cb           231 1.0  68       0       0       0
a 626153 626077   0.22 cb           341 1.0  68       0       0       0
a 626153 626079   0.99 cb           231 1.0  68       0       0       0
a 626154 712615   1.61 cg           900 1.0  95       0       0       0
a 626154 626155   0.95 cb           231 1.0  68       0       0       0
a 626154 626156   0.69 cb           231 1.0  68       0       0       0
a 626155 626098   0.94 cb           231 1.0  68       0       0       0
a 626155 626154   0.95 cb           231 1.0  68       0       0       0
a 626155 626162   1.17 cb           231 1.0  68       0       0       0
a 626156 626152   1.03 cb           231 1.0  68       0       0       0
a 626156 626154   0.69 cb           231 1.0  68       0       0       0
a 626157 626152   0.71 cb           231 1.0  68       0       0       0
a 626157 626158   0.65 cb           231 1.0  68       0       0       0
a 626158 626157   0.65 cb           231 1.0  68       0       0       0
a 626158 626159   0.63 cb           231 1.0  68       0       0       0
a 626159 626079   1.07 cb           231 1.0  68       0       0       0
a 626159 626158   0.63 cb           231 1.0  68       0       0       0
a 626162 712615   1.00 cg           900 1.0  95       0       0       0
a 626162 626155   1.17 cb           231 1.0  68       0       0       0
a 626162 626163   2.89 cb           231 1.0  70       0       0       0
a 626163 626079   1.40 cb           231 1.0  70       0       0       0
a 626163 626162   2.89 cb           231 1.0  70       0       0       0
a 626164 626133   1.47 cb           232 1.0  65       0       0       0
a 626164 626146   0.25 cb           342 1.0  65       0       0       0
a 626164 626148   0.44 cb           442 1.0  65       0       0       0
a 626164 626165   0.32 cb           342 1.0  65       0       0       0
a 626165 626146   0.13 cb           342 1.0  65       0       0       0
a 626165 626164   0.32 cb           342 1.0  65       0       0       0
a 626166 712614   0.40 cg           900 1.0  95       0       0       0
a 626166 626148   1.10 cb           442 1.0  65       0       0       0
a 626166 626149   0.37 cb           442 1.0  65       0       0       0
a 626167 626143   0.14 cb           342 1.0  65       0       0       0
a 626167 626169   0.35 cb           342 1.0  65       0       0       0
a 626168 626089   0.11 cb           342 1.0  65       0       0       0
a 626168 626146   0.40 cb           232 2.0  68       0       0       0
a 626168 626169   0.40 cb           232 2.0  68       0       0       0
a 626169 626142   0.27 cb           232 2.0  68       0       0       0
a 626169 626167   0.35 cb           342 1.0  65       0       0       0
a 626169 626168   0.40 cb           232 2.0  68       0       0       0
a 626172 712617   0.10 cg           900 1.0  95       0       0       0
a 626172 712619   0.20 cg           900 1.0  95       0       0       0
a 626172 626173   0.63 cb           442 1.0  65       0       0       0
a 626172 626212   0.27 cb           442 1.0  65       0       0       0
a 626173 626172   0.63 cb           442 1.0  65       0       0       0
a 626173 626196   0.30 cb           442 1.0  65       0       0       0
a 626173 627142   2.00 cb           342 1.0  65       0       0       0
a 626182 712637   0.57 c            900 1.0  95       0       0       0
a 626182 626185   0.14 cb           342 1.0  65       0       0       0
a 626182 626192   0.45 cb           342 1.0  65       0       0       0
a 626185 712618   0.41 cg           900 1.0  95       0       0       0
a 626185 626182   0.14 cb           342 1.0  65       0       0       0
a 626185 626189   0.29 cb           441 1.0  65       0       0       0
a 626186 604476   0.84 cb           342 1.0  65       0       0       0
a 626186 626245   1.04 cb           342 2.0  65       0       0       0
a 626187 604479   0.15 cb           342 2.0  65       0       0       0
a 626187 626242   0.30 cb           342 2.0  68       0       0       0
a 626188 712638   0.30 c            900 1.0  95       0       0       0
a 626188 626189   0.55 cb           441 1.0  65       0       0       0
a 626189 712636   0.20 cg           900 1.0  95       0       0       0
a 626189 626185   0.29 cb           441 1.0  65       0       0       0
a 626189 626188   0.55 cb           441 1.0  65       0       0       0
a 626192 626182   0.45 cb           342 1.0  65       0       0       0
a 626192 626193   0.41 cb           232 2.0  69       0       0       0
a 626192 626212   0.28 cb           442 2.0  65       0       0       0
a 626192 627182   1.23 cb           231 1.0  68       0       0       0
a 626193 626192   0.41 cb           232 2.0  69       0       0       0
a 626193 626195   0.50 cb           232 2.0  68       0       0       0
a 626193 626197   0.37 cb           442 1.0  65       0       0       0
a 626194 626196   0.15 cb           442 1.0  65       0       0       0
a 626194 626197   0.60 cb           442 1.0  65       0       0       0
a 626195 626142   0.97 cb           232 2.0  68       0       0       0
a 626195 626193   0.50 cb           232 2.0  68       0       0       0
a 626195 626199   0.60 cb           442 1.0  65       0       0       0
a 626196 626173   0.30 cb           442 1.0  65       0       0       0
a 626196 626194   0.15 cb           442 1.0  65       0       0       0
a 626196 626203   0.53 cb           442 1.0  65       0       0       0
a 626197 626193   0.37 cb           442 1.0  65       0       0       0
a 626197 626194   0.60 cb           442 1.0  65       0       0       0
a 626199 712634   0.25 cg           900 1.0  95       0       0       0
a 626199 626142   0.63 cb           232 1.0  65       0       0       0
a 626199 626195   0.60 cb           442 1.0  65       0       0       0
a 626199 626203   1.18 cb           232 1.0  65       0       0       0
a 626202 626203   1.64 cb           232 1.0  68       0       0       0
a 626202 626204   1.31 cb           342 1.0  65       0       0       0
a 626202 626265   1.00 cb           232 1.0  68       0       0       0
a 626203 712622   0.60 cg           900 1.0  95       0       0       0
a 626203 626196   0.53 cb           442 1.0  65       0       0       0
a 626203 626199   1.18 cb           232 1.0  65       0       0       0
a 626203 626202   1.64 cb           232 1.0  68       0       0       0
a 626204 712620   0.30 cg           900 1.0  95       0       0       0
a 626204 626139   1.75 cb           342 1.0  65       0       0       0
a 626204 626202   1.31 cb           342 1.0  65       0       0       0
a 626212 712621   0.40 cg           900 1.0  95       0       0       0
a 626212 626172   0.27 cb           442 1.0  65       0       0       0
a 626212 626192   0.28 cb           442 2.0  65       0       0       0
a 626212 626213   0.55 cb           442 1.0  65       0       0       0
a 626213 712621   0.20 cg           900 1.0  95       0       0       0
a 626213 626212   0.55 cb           442 1.0  65       0       0       0
a 626213 627183   1.00 cb           442 1.0  66       0       0       0
a 626232 712623   0.30 cg           900 1.0  95       0       0       0
a 626232 604426   0.23 cb           342 2.0  68       0       0       0
a 626232 626233   0.65 cb           342 1.0  67       0       0       0
a 626232 626245   1.58 cb           342 1.0  65       0       0       0
a 626233 712627   0.50 cg           900 1.0  95       0       0       0
a 626233 626138   1.46 cb           342 1.0  65       0       0       0
a 626233 626232   0.65 cb           342 1.0  67       0       0       0
a 626234 604455   0.41 cb           342 1.0  65       0       0       0
a 626234 604458   0.37 cb           112 3.0  73       0       0       0
a 626234 626243   0.64 cb           112 3.0  73       0       0       0
a 626235 626234   0.41 cb           342 1.0  65       0       0       0
a 626235 626236   0.17 cb           342 1.0  65       0       0       0
a 626235 626244   0.18 cb           342 2.0  65       0       0       0
a 626235 626245   0.23 cb           342 2.0  65       0       0       0
a 626236 604453   0.33 cb           342 1.0  65       0       0       0
a 626236 626235   0.17 cb           342 1.0  65       0       0       0
a 626242 626187   0.30 cb           342 2.0  68       0       0       0
a 626242 626247   0.93 cb           112 3.5  73       0       0       0
a 626242 626254   0.16 cb           342 1.0  65       0       0       0
a 626242 626255   0.81 cb           112 3.0  73       0       0       0
a 626243 626234   0.64 cb           112 3.0  73       0       0       0
a 626243 626249   0.47 cb           112 3.0  73       0       0       0
a 626244 604456   0.26 cb           342 2.0  65       0       0       0
a 626244 626235   0.18 cb           342 2.0  65       0       0       0
a 626245 626186   1.04 cb           342 2.0  65       0       0       0
a 626245 626232   1.58 cb           342 1.0  65       0       0       0
a 626245 626235   0.23 cb           342 2.0  65       0       0       0
a 626245 626246   0.65 cb           442 2.0  65       0       0       0
a 626246 712624   0.38 cg           900 1.0  95       0       0       0
a 626246 604475   0.37 cb           442 2.0  65       0       0       0
a 626246 626245   0.65 cb           442 2.0  65       0       0       0
a 626247 626242   0.93 cb           112 3.5  73       0       0       0
a 626247 626249   0.14 cb           112 3.5  73       0       0       0
a 626248 604472   0.47 cb           342 2.0  65       0       0       0
a 626248 604473   0.40 cb           342 2.0  65       0       0       0
a 626249 626236   0.59 cb           342 1.0  65       0       0       0
a 626249 626243   0.47 cb           112 3.0  73       0       0       0
a 626249 626246   0.28 cb           442 0.7  67       0       0       0
a 626249 626247   0.14 cb           112 3.5  73       0       0       0
a 626252 712625   0.55 cg           900 1.0  95       0       0       0
a 626252 626253   0.60 cb           342 1.0  65       0       0       0
a 626252 626254   0.35 cb           342 2.0  65       0       0       0
a 626252 626256   0.65 cb           442 1.0  66       0       0       0
a 626253 626252   0.60 cb           342 1.0  65       0       0       0
a 626253 626268   0.80 cb           342 1.0  65       0       0       0
a 626254 604472   0.42 cb           342 2.0  65       0       0       0
a 626254 626242   0.16 cb           342 1.0  65       0       0       0
a 626254 626252   0.35 cb           342 2.0  65       0       0       0
a 626255 626242   0.81 cb           112 3.0  73       0       0       0
a 626255 626258   0.18 cb           112 3.0  73       0       0       0
a 626256 604482   0.34 cb           442 1.0  66       0       0       0
a 626256 626252   0.65 cb           442 1.0  66       0       0       0
a 626257 626265   0.75 cb           232 2.0  68       0       0       0
a 626257 626266   0.82 cb           232 2.0  68       0       0       0
a 626258 626255   0.18 cb           112 3.0  73       0       0       0
a 626258 626263   0.32 cb           112 3.0  73       0       0       0
a 626262 626263   0.36 cb           112 3.0  73       0       0       0
a 626262 627264   0.45 cb           112 3.0  73       0       0       0
a 626263 626258   0.32 cb           112 3.0  73       0       0       0
a 626263 626262   0.36 cb           112 3.0  73       0       0       0
a 626263 626267   0.30 cb           242 1.0  68       0       0       0
a 626264 712626   0.30 cg           900 1.0  95       0       0       0
a 626264 626266   0.24 cb           232 1.0  68       0       0       0
a 626264 626269   0.35 cb           242 1.0  66       0       0       0
a 626264 627254   0.58 cb           232 2.0  68       0       0       0
a 626265 626202   1.00 cb           232 1.0  68       0       0       0
a 626265 626257   0.75 cb           232 2.0  68       0       0       0
a 626266 626257   0.82 cb           232 2.0  68       0       0       0
a 626266 626264   0.24 cb           232 1.0  68       0       0       0
a 626267 626268   0.32 cb           342 1.0  65       0       0       0
a 626267 626269   0.20 cb           242 1.0  66       0       0       0
a 626268 712629   0.32 cg           900 1.0  95       0       0       0
a 626268 626253   0.80 cb           342 1.0  65       0       0       0
a 626268 626267   0.32 cb           342 1.0  65       0       0       0
a 626269 626263   0.30 cb           242 1.0  68       0       0       0
a 626269 626264   0.35 cb           242 1.0  66       0       0       0
a 626269 626267   0.20 cb           242 1.0  66       0       0       0
a 627012 712701   0.25 c            900 1.0  95       0       0       0
a 627012 712708   1.30 c            900 1.0  95       0       0       0
a 627012 712744   0.62 cg           900 1.0  95       0       0       0
a 627012 627013   0.29 cb           342 1.0  66       0       0       0
a 627012 627023   1.50 cb           342 1.0  65       0       0       0
a 627012 627039   0.28 cb           342 1.0  65       0       0       0
a 627013 627012   0.29 cb           342 1.0  66       0       0       0
a 627013 627014   0.38 cb           342 1.0  66       0       0       0
a 627014 627013   0.38 cb           342 1.0  66       0       0       0
a 627014 627035   0.35 cb           232 1.0  68       0       0       0
a 627014 627042   0.98 cb           232 1.0  68       0       0       0
a 627014 627054   0.50 cb           442 1.0  65       0       0       0
a 627014 627075   1.13 cb           232 1.0  68       0       0       0
a 627015 712742   0.12 cg           900 1.0  95       0       0       0
a 627015 712746   1.00 cg           900 1.0  95       0       0       0
a 627015 627042   0.88 cb           232 1.0  68       0       0       0
a 627015 627146   0.77 cb           232 1.0  68       0       0       0
a 627022 712708   0.75 c            900 1.0  95       0       0       0
a 627022 627023   0.42 cb           341 1.0  65       0       0       0
a 627022 627082   0.93 cb           342 1.0  65       0       0       0
a 627022 628032   0.50 cb           341 1.0  68       0       0       0
a 627023 627012   1.50 cb           342 1.0  65       0       0       0
a 627023 627022   0.42 cb           341 1.0  65       0       0       0
a 627032 712743   0.29 cg           900 1.0  95       0       0       0
a 627032 627033   0.91 cb           342 1.0  65       0       0       0
a 627032 627039   0.54 cb           342 1.0  65       0       0       0
a 627033 627032   0.91 cb           342 1.0  65       0       0       0
a 627033 627034   0.45 cb           341 1.0  65       0       0       0
a 627034 712703   0.98 c            900 1.0  95       0       0       0
a 627034 712704   1.72 cg           900 1.0  95       0       0       0
a 627034 627033   0.45 cb           341 1.0  65       0       0       0
a 627034 627035   1.93 cb           232 1.0  68       0       0       0
a 627034 627224   1.58 cb           231 2.0  68       0       0       0
a 627035 712704   0.58 cg           900 1.0  95       0       0       0
a 627035 712742   2.67 c            900 1.0  95       0       0       0
a 627035 627014   0.35 cb           232 1.0  68       0       0       0
a 627035 627034   1.93 cb           232 1.0  68       0       0       0
a 627035 627038   0.29 cb           442 1.0  65       0       0       0
a 627038 712703   1.14 cg           900 1.0  95       0       0       0
a 627038 627035   0.29 cb           442 1.0  65       0       0       0
a 627038 627039   0.74 cb           442 1.0  65       0       0       0
a 627039 712741   1.23 cg           900 1.0  95       0       0       0
a 627039 627012   0.28 cb           342 1.0  65       0       0       0
a 627039 627032   0.54 cb           342 1.0  65       0       0       0
a 627039 627038   0.74 cb           442 1.0  65       0       0       0
a 627042 627014   0.98 cb           232 1.0  68       0       0       0
a 627042 627015   0.88 cb           232 1.0  68       0       0       0
a 627053 712747   0.50 cg           900 1.0  95       0       0       0
a 627053 712749   0.38 cg           900 1.0  95       0       0       0
a 627053 627054   0.75 cb           442 1.0  65       0       0       0
a 627053 627076   0.62 cb           442 1.0  65       0       0       0
a 627054 712705   1.78 c            900 1.0  95       0       0       0
a 627054 712748   2.16 c            900 1.0  95       0       0       0
a 627054 627014   0.50 cb           442 1.0  65       0       0       0
a 627054 627053   0.75 cb           442 1.0  65       0       0       0
a 627072 712707   0.30 c            900 1.0  95       0       0       0
a 627072 627073   0.80 cb           442 1.0  65       0       0       0
a 627072 627076   0.80 cb           442 1.0  65       0       0       0
a 627073 627072   0.80 cb           442 1.0  65       0       0       0
a 627073 627074   0.87 cb           232 1.0  65       0       0       0
a 627073 627107   1.50 cb           232 1.0  65       0       0       0
a 627074 627073   0.87 cb           232 1.0  65       0       0       0
a 627074 627075   0.26 cb           232 1.0  68       0       0       0
a 627074 627082   0.88 cb           342 1.0  65       0       0       0
a 627075 712706   0.30 c            900 1.0  95       0       0       0
a 627075 627014   1.13 cb           232 1.0  68       0       0       0
a 627075 627074   0.26 cb           232 1.0  68       0       0       0
a 627076 627053   0.62 cb           442 1.0  65       0       0       0
a 627076 627072   0.80 cb           442 1.0  65       0       0       0
a 627082 712706   0.50 c            900 1.0  95       0       0       0
a 627082 712709   0.30 c            900 1.0  95       0       0       0
a 627082 627022   0.93 cb           342 1.0  65       0       0       0
a 627082 627074   0.88 cb           342 1.0  65       0       0       0
a 627103 712710   0.30 c            900 1.0  95       0       0       0
a 627103 627104   0.61 cb           232 1.0  65       0       0       0
